tarih,gsyh_yil_trl,denge_gsyh,fdd_gsyh,faiz_gsyh,gelir_gsyh,gider_gsyh,vergi_gsyh,stok_trl,stok_gsyh,net_fin_deger_trl,yukum_toplam_trl,varlik_toplam_trl,nakit_trl,borc_senedi_trl,bs_kisa_trl,bs_uzun_trl,krediler_trl,net_stok_trl,net_stok_gsyh,net_fin_deger_gsyh,db_toplam_mlrusd,db_my_mlrusd,db_my_kisa_mlrusd,db_my_uzun_mlrusd,db_tcmb_mlrusd,db_ozel_mlrusd
2003-12-31,0.473368472633203,,,,,,,,,,,,,,,,,,,,148.363,63.346000000000004,0.0,63.346000000000004,24.373,53.146
2004-03-31,0.49568963079752904,,,,,,,,,,,,,,,,,,,,148.857,62.526,0.0,62.526,22.897000000000002,55.976
2004-06-30,0.522467919733368,,,,,,,,,,,,,,,,,,,,152.625,63.503,0.0,63.503,21.667,60.387
2004-09-30,0.5522449050870659,,,,,,,,,,,,,,,,,,,,157.708,65.94500000000001,0.0,65.94500000000001,20.814,64.05
2004-12-31,0.5846936721390209,,,,,,,,,,,,,,,,,,,,165.687,68.584,0.0,68.584,21.41,68.514
2005-03-31,0.607693830398204,,,,,,,,,,,,,,,,,,,,164.249,68.772,0.0,68.772,19.399,69.393
2005-06-30,0.6306847079868221,,,,,,,,,,,,,,,,,,,,167.489,66.345,0.0,66.345,17.098,77.927
2005-09-30,0.65667732730684,,,,,,,,,,,,,,,,,,,,171.016,64.807,0.0,64.807,16.23,83.727
2005-12-31,0.68296233152903,,,,,,,,,,,,,,,,,,,,183.068,72.302,0.0,72.302,15.425,89.45307940000001
2006-03-31,0.703624075416409,,,,,,,0.34626896430000004,49.21221095157608,,,,,,,,,,,,198.725,74.409,0.0,74.409,15.518,103.545854
2006-06-30,0.7370058053862321,,,,,,,0.3564392275,48.36315058783099,,,,,,,,,,,,201.385,66.975,0.0,66.975,15.772,114.47662600000001
2006-09-30,0.7674076824811581,,,,,,,0.3590600961,46.78870231518902,,,,,,,,,,,,210.377,72.519,0.0,72.519,15.527000000000001,117.750926
2006-12-31,0.7994596024786571,-0.5807176479719552,5.168504558815792,5.749222206787747,21.700087091596533,22.280804739568488,17.196652785675965,0.36568239440000005,45.74119733708027,,,,,,,,,,,,229.395,80.824,0.0,80.824,15.678,127.7032705
2007-03-31,0.8273172547986961,-0.8370875815572214,5.284809514898675,6.121897096455896,21.91029462380865,22.74738220536587,16.942784426043005,0.37814932720000005,45.70789802903504,,,,,,,,,,,,233.885,82.552,0.0,82.552,15.63,130.275864
2007-06-30,0.8453035029737821,-1.5320136441457126,4.380721701699672,5.912735345845384,21.79770287852633,23.329716522672044,16.80967977775045,0.3660341357,43.302096159815974,,,,,,,,,,,,250.275,85.431,0.0,85.431,15.484,144.04566
2007-09-30,0.8671910301029201,-1.779406205132061,4.114027562735035,5.893433767867096,21.590562229152553,23.369968434284612,16.966391820558634,0.36317900000000003,41.87993041820292,,,,,,,,,,,,262.148,86.7,0.0,86.7,15.629,154.257232
2007-12-31,0.8928054300471612,-1.535374846373403,3.925265216873602,5.460640063247006,21.321529483747035,22.85690433012044,17.11852390861094,0.35408238350000004,39.65952396607805,,,,,,,,,,,,276.945,84.805,0.0,84.805,15.801,169.6976325
2008-03-31,0.922619041293368,-1.5986036857990888,3.445399951364357,5.044003637163446,20.74947821710171,22.348081902900798,17.249761372461716,0.3714018455,40.25516804632089,,,,,,,,,,,,288.041,82.197,0.0,82.197,16.59,182.29765100000003
2008-06-30,0.9615286265520241,-0.6141973142471457,3.8161683372423942,4.43036565148954,20.59960395669855,21.213801270945698,17.1600950240739,0.3674910778,38.21946301461641,,,,,,,,,,,,312.19100000000003,87.024,0.0,87.024,16.204,202.161308
2008-09-30,0.993613316946137,-0.6391772223342977,4.123145423001698,4.7623226453359955,21.057977528228164,21.69715475056246,16.953826516511135,0.37128239240000005,37.36688972135897,,,,,,,,,,,,315.704,85.18900000000001,0.0,85.18900000000001,14.339,207.863986
2008-12-31,1.009220910744281,-1.7272818878816303,3.29256108808666,5.01984297596829,20.76834415226545,22.49562604014708,16.657300518676614,0.3904532171,38.68857778739922,,,,,,,,,,,,291.485,76.45700000000001,0.0,76.45700000000001,14.066,192.15675000000002
2009-03-31,0.9994524345648821,-3.2202926209301865,2.282789076393898,5.503081697324085,20.982298581452525,24.202591202382713,16.60881961553958,0.409205103,40.94292923286039,,,,,,,,,,,,270.31600000000003,69.253,0.0,69.253,12.952,180.09299900000002
2009-06-30,0.9902298855018111,-4.297389487334572,1.475375992373367,5.772765479707939,21.077809714279553,25.375199201614123,16.606305910133962,0.41400635640000005,41.80911548535997,,,,,,,,,,,,277.752,73.414,0.0,73.414,13.541,182.410539
2009-09-30,0.9943001983348762,-5.373327702184166,0.14170509091314326,5.515032793097309,20.647173192140663,26.020500894324833,16.711653108213167,0.437550811,44.00590603650213,,,,,,,,,,,,281.872,78.894,0.0,78.894,13.535,180.2445048941
2009-12-31,1.013510241622904,-5.205753413553633,0.04341840683280723,5.24917182038644,21.25862494048338,26.46437835403701,17.01417666227785,0.44608350910000005,44.013714985819945,,,,,,,,,,,,280.104,77.093,0.0,77.093,13.162,180.1555210351
2010-03-31,1.043025376775639,-4.3119455193921254,0.49234295869913686,4.804288478091262,21.590327427713227,25.902272947105352,17.468229925837356,0.4594969485,44.05424438669631,,,,,,,,,,,,278.452,78.093,0.0,78.093,12.353,177.1363455
2010-06-30,1.0808537199424901,-4.16206376218917,0.7893549184855427,4.951418680674713,21.73253176317868,25.89459552536785,17.761816928401263,0.47019495880000006,43.502182591832884,,,,,,,,,,,,283.93,80.684,0.0,80.684,11.144,180.5005098
2010-09-30,1.128148779963408,-2.946363067562608,1.21724990922256,4.163612976785167,21.862183816570706,24.80854688413331,17.807723818707334,0.4775851712,42.33352725120978,,,,,,,,,,,,307.796,89.461,0.0,89.461,12.085,192.40222459999998
2010-12-31,1.176047968976003,-3.4081338565551187,0.6987362094723941,4.106870066027513,21.62134893370055,25.02948279025567,17.904064592138795,0.49109514200000004,41.75808767627069,-0.317354975061765,0.5612037103930281,0.24384873533126303,0.0304591442220402,0.47428824656472,0.0,0.47428824656472,0.0539338732742387,0.4606359977779598,39.168130036314786,-26.98486655591857,320.446,89.427,0.0,89.427,11.565,208.14524720000003
2011-03-31,1.227137844313012,-2.6781913011898717,1.1737086478710335,3.851899949060905,21.67434353301198,24.352534834201855,17.93677279370546,0.5150349680999999,41.97042495974294,,,,,,,,,,,,335.771,100.197,0.0,100.197,12.01,211.057094263
2011-06-30,1.285600338147981,-1.6953886330956416,1.6629460467316053,3.358334679827247,21.72400408686363,23.41939271995927,18.25350087711227,0.5317760546000001,41.364025725605345,,,,,,,,,,,,354.705,103.69800000000001,0.0,103.69800000000001,11.878,225.238680054
2011-09-30,1.3495104851444468,-1.375173679959486,1.8689209367128707,3.244094616672357,21.329365215653766,22.70453889561325,18.16580943228167,0.5440839900000001,40.31713691663265,,,,,,,,,,,,344.423,96.13,0.0,96.13,10.344,222.3037192808
2011-12-31,1.413984461171243,-1.2576651645287307,1.7290407830754189,2.9867059476041495,20.991998862146808,22.24966402667554,17.94992703029867,0.5638267225,39.87502960484915,-0.33206166656608405,0.597026095753039,0.264964429186954,0.035795155948130104,0.493111782479049,0.0,0.493111782479049,0.06305780246977,0.5280315665518699,37.343519752295336,-23.48411002275287,343.862,102.307,0.0,102.307,9.334,215.0693420448
2012-03-31,1.4571098015814319,-1.3787733071451198,1.7497975082130492,3.1285708153581693,20.967064847715676,22.345838154860793,17.900648785487093,0.5693385125,39.07313723935457,,,,,,,,,,,,359.607,109.58500000000001,0.0,109.58500000000001,9.325000000000001,218.90595147800002
2012-06-30,1.503291057695059,-1.8187829868370184,1.2449095538886814,3.0636925407257,20.81638185753631,22.635164844373328,17.445934814653825,0.5818245444000001,38.70338624192245,,,,,,,,,,,,370.116,112.438,0.0,112.438,8.313,225.1367309829
2012-09-30,1.5462194961493143,-2.093301764762795,0.9464142727758535,3.0397160375386494,20.657641867500757,22.75094363226355,17.29182697966582,0.612928251,39.64044254560422,,,,,,,,,,,,388.65000000000003,126.405,0.0,126.405,7.437,231.41732224463
2012-12-31,1.590049295256213,-1.8497408280200978,1.1951991712897017,3.0449399993097996,20.90972248419673,22.759463312216827,17.53284309057089,0.6294031,39.583873397999334,-0.376155778194169,0.6460735467999671,0.269917768605798,0.03537950766721,0.5508765776404261,0.0,0.0,0.055623598733061004,0.59402359233279,37.35881611375274,-23.65686267189327,411.885,136.24,0.0,136.24,7.079,243.2947811416
